,Ahlgren Scott D.,Albin Pierre,Balogh József,Baryshnikov Yuliy M.,Berwick-Evans Daniel,Boca Florin-Petre,Bradlow Steven Benjamin,Bronski Jared C.,Cooney Daniel B.,De Ville R E Lee,Dey Partha Sarathi,Di Francesco Philippe,Dodd Christopher,Dunfield Nathan M.,Dutta Sankar Prasad,Duursma Iwan Maynard,Erdoğan Mehmet Burak,Fadina Tolulope,Feng Runhuan,Fernandes Rui Loja,Ford Kevin B.,Guzman Rosemary K.,Haboush William J.,Heller Jeremiah Ben,Hinkkanen Aimo,Hirani Anil N.,Hung Pei-Ken,Hur Vera Mikyoung,Ivanov Sergei Vladimirovich,Janda Felix,Jing Xiaochen,Junge Marius,Katz Sheldon H.,Kedem Rinat,Kerman Ely,Kirkpatrick Kay Lene,Kirr Eduard,Kostochka Alexandr V.,Kutzarova Denka N.,La Nave Gabriele,Laugesen Richard Snyder,Leditzky Felix,Lerman Eugene M.,Liu Yuan,Li Xiaochun,Mc Carthy Randy,Mineyev Igor,Nikolaev Igor G.,Oikhberg Timur,Pascaleff James Thomas,Quan Zhiyu,Rapti Zoi,Rasmussen Jacob,Rasmussen Sarah Dean,Rezk Charles W.,Reznick Bruce,Song Renming,Sowers Richard B.,Stojanoska Vesna,Thorner Jesse,Tolman Susan,Tumanov Alexander,Tyson Jeremy T.,Tzirakis Nikolaos,Wei Wei,Wu Xuan,Yong Alexander T F.,Young Amanda,Zaharescu Alexandru,Zharnitsky Vadim
Hur Vera Mikyoung,0,3,0,3,0,1,0,90,0,4,0,0,0,0,0,0,22,0,0,2,0,0,0,0,2,1,0,702,0,0,0,1,0,0,2,6,9,0,1,1,10,0,1,0,4,0,0,0,1,1,0,10,0,0,0,0,7,3,0,0,0,4,1,15,0,1,0,0,2,12
Ivanov Sergei Vladimirovich,0,1,4,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,1,3,0,0,3,1,0,0,358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,25,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Janda Felix,0,3,0,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,300,0,0,24,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,1,0
Jing Xiaochen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Junge Marius,0,4,3,6,0,12,1,2,0,1,4,3,0,1,0,1,9,0,1,0,6,0,0,0,12,0,0,1,1,0,0,1835,0,1,7,11,0,0,54,1,11,70,1,0,8,0,8,0,171,1,0,1,1,0,0,0,20,5,1,1,0,6,12,4,1,2,3,9,13,1
Katz Sheldon H.,2,1,0,3,3,0,9,0,0,0,0,2,5,4,4,3,0,0,0,1,0,0,1,2,1,0,0,0,0,24,0,0,674,1,3,0,0,0,0,7,0,0,3,0,0,2,0,0,0,17,0,0,10,0,1,0,0,0,4,0,8,2,0,0,0,2,4,0,1,0
Kedem Rinat,1,0,0,1,0,0,0,0,0,0,1,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0
Kerman Ely,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,2,0,1,0,7,3,0,293,0,0,0,6,1,1,0,12,0,0,0,0,0,0,5,0,0,1,0,0,0,1,1,0,1,16,7,3,0,0,1,0,0,1,0
Kirkpatrick Kay Lene,1,1,2,2,0,0,0,2,0,4,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,298,5,0,1,1,4,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,6,3,1,1,0,0,0,30,0,1,0,1,1,3
Kirr Eduard,0,0,1,1,0,1,0,15,0,2,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,162,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,2,0,0,0,0,0,6,0,0,0,0,0,6
Kostochka Alexandr V.,0,0,282,1,0,0,0,1,0,3,2,0,0,3,0,3,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0
Kutzarova Denka N.,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,48,0,0,0,0,0,0,1,0,0,0,54,0,0,6,1,0,1,548,0,2,0,0,0,1,0,0,0,82,0,0,0,0,0,0,1,1,1,0,2,0,3,9,1,0,0,0,0,4,0
La Nave Gabriele,0,6,0,1,1,0,8,0,1,0,0,1,2,0,1,2,0,0,0,3,0,0,1,0,1,0,0,1,0,1,0,1,7,0,1,1,0,0,0,208,1,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,8,2,0,0,0,0,2,0,1,0
Laugesen Richard Snyder,0,4,2,12,0,4,0,7,2,7,0,0,0,2,0,0,8,0,0,2,0,0,0,0,10,1,1,10,0,0,0,11,0,0,1,4,2,0,2,1,808,1,3,0,3,0,2,1,6,0,0,4,0,0,0,2,25,11,0,0,0,4,15,5,1,3,0,1,10,2
Leditzky Felix,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,369,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0
Lerman Eugene M.,1,8,0,7,19,0,5,3,0,67,0,0,1,0,0,0,1,0,0,38,0,0,0,3,0,1,1,1,0,1,0,1,3,0,12,0,0,0,0,6,3,0,372,0,0,0,2,2,1,1,0,1,1,0,5,0,0,2,2,0,72,3,7,0,0,0,4,0,0,0
Liu Yuan,5,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,1,2,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,149,0,0,2,0,0,0,0,0,0,0,2,1,1,0,6,3,0,0,0,0,0,1,0,0,5,0
Li Xiaochun,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,7,0,0,0,1,0,0,4,0,0,0,8,0,0,0,1,0,0,1,0,3,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,3,12,0,0,0,0,7,5
Mc Carthy Randy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,125,0,0,0,1,0,0,1,0,22,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
Mineyev Igor,0,1,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,5,1,0,0,25,0,0,8,0,0,0,0,0,0,0,0,2,0,2,2,0,0,202,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0
Nikolaev Igor G.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Oikhberg Timur,0,1,2,0,0,3,0,1,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,1,1,0,0,171,0,0,0,3,0,0,82,0,6,2,1,0,0,0,0,0,841,0,0,1,0,0,1,4,5,0,0,1,0,3,3,1,0,0,0,2,3,0
Pascaleff James Thomas,0,0,0,2,0,1,1,1,0,0,0,2,1,0,1,2,0,0,0,3,0,0,1,1,0,0,0,1,0,4,0,1,17,2,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,170,0,1,2,0,2,0,0,1,3,0,3,1,0,0,0,1,5,0,2,0
Quan Zhiyu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rapti Zoi,0,0,0,2,0,1,0,86,0,25,0,0,0,0,0,1,8,0,1,2,0,0,0,0,0,1,0,10,1,0,0,1,0,0,0,2,11,0,0,0,4,0,1,0,0,0,0,0,1,1,0,187,0,0,0,1,2,5,0,0,1,1,1,1,0,0,0,1,1,1
Rasmussen Jacob,0,2,0,2,0,0,3,2,0,2,0,2,5,69,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,10,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,397,51,0,0,0,0,1,0,1,0,0,0,0,0,4,0,3,0
Rasmussen Sarah Dean,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rezk Charles W.,2,2,0,0,16,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,22,0,0,1,2,0,0,0,0,291,0,0,0,50,0,1,0,0,0,0,0,1,0,2,0
Reznick Bruce,1,0,2,0,0,3,0,1,0,1,0,2,0,1,0,1,1,0,0,0,6,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,4,0,0,1,0,0,0,305,1,0,0,1,0,0,11,0,0,0,1,0,15,1
Song Renming,0,1,2,9,0,3,0,4,2,9,10,0,0,0,0,4,5,0,18,0,3,0,0,0,2,0,1,7,0,1,0,20,0,0,1,6,5,0,1,2,25,2,0,1,1,0,0,0,5,0,0,2,0,0,0,1,1301,19,0,0,0,1,17,1,1,4,0,3,4,2
Sowers Richard B.,0,2,4,10,0,0,0,1,0,14,2,0,0,1,0,0,2,3,3,2,0,0,0,0,1,0,0,3,0,0,0,5,0,0,1,3,2,1,1,0,11,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,19,299,0,0,1,0,2,0,1,1,0,1,0,1
Stojanoska Vesna,3,0,0,1,5,0,1,0,0,0,0,0,3,3,2,5,0,0,0,0,0,0,2,41,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,1,0,0,2,6,0,6,1,0,0,3,0,0,1,0,50,0,0,0,307,1,0,0,0,0,0,0,2,0,5,0
Thorner Jesse,27,0,0,0,0,7,0,1,0,0,0,0,0,2,0,3,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,378,0,0,0,1,0,0,0,0,88,0
Tolman Susan,1,9,0,4,6,0,5,1,0,0,0,2,1,1,0,0,0,0,0,22,0,0,2,1,0,1,0,0,1,0,0,0,8,0,16,0,0,0,0,8,0,0,72,0,0,0,1,0,0,3,0,1,1,0,1,0,0,1,0,0,366,4,2,0,0,0,10,0,0,0
Tumanov Alexander,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,4,0,0,0,6,2,0,7,0,0,0,3,2,4,0,3,0,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,4,274,8,2,0,0,1,0,0,21
Tyson Jeremy T.,0,7,0,12,0,3,0,3,0,0,1,0,0,2,0,1,9,0,0,4,3,1,0,0,26,1,4,1,0,0,0,12,0,0,3,0,0,0,9,0,15,0,7,0,3,0,11,5,3,0,0,1,0,0,0,11,17,2,0,0,2,8,842,2,0,0,1,1,5,4
Tzirakis Nikolaos,0,0,0,1,0,1,0,8,0,4,0,0,0,0,0,0,193,0,0,0,2,0,0,0,1,0,1,15,0,0,0,4,0,0,0,30,6,0,1,0,5,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,2,353,0,0,0,1,3,42
Wei Wei,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,78,0,1,1,1,0
Wu Xuan,1,0,1,1,0,0,1,0,0,0,9,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,134,0,0,2,0
Yong Alexander T F.,1,0,14,10,0,0,3,4,0,3,2,10,7,2,3,3,0,0,0,1,1,1,5,1,0,2,1,0,1,5,0,3,4,4,0,0,0,4,0,2,0,1,4,0,0,1,0,0,0,5,0,0,4,0,1,1,0,0,2,0,10,1,1,0,1,0,758,0,1,1
Young Amanda,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,0,0,0,1,1,1,0,0,233,2,1
Zaharescu Alexandru,71,3,8,5,0,196,1,6,0,2,0,1,2,8,3,8,6,0,3,0,194,0,2,3,2,0,0,2,1,1,0,13,1,0,1,1,0,0,4,1,10,1,0,5,7,0,0,0,3,2,0,1,3,0,2,15,4,0,5,88,0,0,5,3,1,2,1,2,1867,2
Zharnitsky Vadim,0,1,0,39,0,1,0,10,0,8,0,0,0,1,0,0,58,0,0,2,1,0,0,0,2,26,0,12,0,0,0,1,0,0,0,3,6,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,21,4,42,0,0,1,1,2,298
