,0,1,2,3,4,5,6,7
41,DiFrancescoPhilippe,KutzarovaDenkaN,MineyevIgor,HaboushWilliamJ,BronskiJaredC,DeyParthaSarathi,RasmussenJacob,FordKevinB
42,SongRenming,TysonJeremyT,LaNaveGabriele,LeditzkyFelix,DoddChristopher,WuXuan,DeyParthaSarathi,LiuYuan
43,ErdoğanMehmetBurak,HiraniAnilN,JingXiaochen,McCarthyRandy,TysonJeremyT,RasmussenJacob,DoddChristopher,DeVilleRELee
44,JandaFelix,BradlowStevenBenjamin,LiuYuan,Berwick-EvansDaniel,JungeMarius,QuanZhiyu,KutzarovaDenkaN,KermanEly
45,DuttaSankarPrasad,SowersRichardB,HellerJeremiahBen,LaugesenRichardSnyder,PascaleffJamesThomas,LermanEugeneM,HinkkanenAimo,TysonJeremyT
46,KermanEly,OikhbergTimur,LeditzkyFelix,HinkkanenAimo,FernandesRuiLoja,FengRunhuan,KermanEly,AlbinPierre
47,MineyevIgor,LermanEugeneM,LermanEugeneM,LiuYuan,FordKevinB,Berwick-EvansDaniel,OikhbergTimur,KirrEduard
48,ZaharescuAlexandru,FernandesRuiLoja,FadinaTolulope,TzirakisNikolaos,KirrEduard,WeiWei,NikolaevIgorG,BocaFlorin-Petre
49,KirkpatrickKayLene,TumanovAlexander,ZaharescuAlexandru,TysonJeremyT,KedemRinat,SongRenming,TysonJeremyT,Berwick-EvansDaniel
50,ThornerJesse,AlbinPierre,YongAlexanderTF,KirrEduard,ZharnitskyVadim,MineyevIgor,BaryshnikovYuliyM,BaryshnikovYuliyM
51,JungeMarius,LaNaveGabriele,BronskiJaredC,ReznickBruce,TzirakisNikolaos,ReznickBruce,HiraniAnilN,DoddChristopher
52,KostochkaAlexandrV,HungPei-Ken,RasmussenSarahDean,FordKevinB,RasmussenSarahDean,ErdoğanMehmetBurak,TzirakisNikolaos,MineyevIgor
53,HungPei-Ken,LaugesenRichardSnyder,RezkCharlesW,SowersRichardB,JandaFelix,StojanoskaVesna,BronskiJaredC,YoungAmanda
54,RaptiZoi,KatzSheldonH,JungeMarius,JingXiaochen,LermanEugeneM,SowersRichardB,HurVeraMikyoung,LaugesenRichardSnyder
55,DeyParthaSarathi,BaryshnikovYuliyM,KedemRinat,FadinaTolulope,Berwick-EvansDaniel,IvanovSergeiVladimirovich,AlbinPierre,ZaharescuAlexandru
56,BaloghJózsef,RaptiZoi,KirrEduard,YongAlexanderTF,ThornerJesse,CooneyDanielB,ZharnitskyVadim,RezkCharlesW
57,HurVeraMikyoung,JungeMarius,AlbinPierre,IvanovSergeiVladimirovich,RasmussenJacob,TolmanSusan,FordKevinB,DunfieldNathanM
58,KirrEduard,BocaFlorin-Petre,ZharnitskyVadim,SongRenming,YongAlexanderTF,HaboushWilliamJ,ThornerJesse,KirkpatrickKayLene
59,BronskiJaredC,KedemRinat,ErdoğanMehmetBurak,HellerJeremiahBen,HurVeraMikyoung,RezkCharlesW,YongAlexanderTF,OikhbergTimur
60,ZharnitskyVadim,DeVilleRELee,PascaleffJamesThomas,TolmanSusan,BocaFlorin-Petre,HurVeraMikyoung,PascaleffJamesThomas,RasmussenSarahDean
61,LeditzkyFelix,DiFrancescoPhilippe,HurVeraMikyoung,BocaFlorin-Petre,ErdoğanMehmetBurak,RaptiZoi,RaptiZoi,KutzarovaDenkaN
62,DeVilleRELee,TzirakisNikolaos,DoddChristopher,ErdoğanMehmetBurak,LaNaveGabriele,TzirakisNikolaos,LiuYuan,JandaFelix
63,CooneyDanielB,YoungAmanda,DunfieldNathanM,OikhbergTimur,AhlgrenScottD,McCarthyRandy,AhlgrenScottD,RasmussenJacob
64,WuXuan,ErdoğanMehmetBurak,RasmussenJacob,AhlgrenScottD,ZaharescuAlexandru,DunfieldNathanM,CooneyDanielB,JungeMarius
65,FengRunhuan,KirkpatrickKayLene,KermanEly,KutzarovaDenkaN,AlbinPierre,BronskiJaredC,ZaharescuAlexandru,PascaleffJamesThomas
66,FadinaTolulope,HurVeraMikyoung,ThornerJesse,ThornerJesse,LiuYuan,ZharnitskyVadim,DeVilleRELee,SowersRichardB
67,JingXiaochen,ZharnitskyVadim,Berwick-EvansDaniel,JungeMarius,QuanZhiyu,DeVilleRELee,RasmussenSarahDean,SongRenming
68,QuanZhiyu,KirrEduard,TolmanSusan,DuttaSankarPrasad,FengRunhuan,DuttaSankarPrasad,KostochkaAlexandrV,WuXuan
69,WeiWei,BronskiJaredC,JandaFelix,ZaharescuAlexandru,WeiWei,HellerJeremiahBen,BaloghJózsef,DeyParthaSarathi
