,0,1,2,3,4,5,6,7
43,TzirakisNikolaos,HinkkanenAimo,JungeMarius,FordKevinB,DiFrancescoPhilippe,KedemRinat,DunfieldNathanM,TzirakisNikolaos
44,ThornerJesse,ErdoğanMehmetBurak,RaptiZoi,BocaFlorin-Petre,KedemRinat,DiFrancescoPhilippe,LeditzkyFelix,KedemRinat
45,LeditzkyFelix,HurVeraMikyoung,BronskiJaredC,LermanEugeneM,OikhbergTimur,OikhbergTimur,ThornerJesse,KostochkaAlexandrV
46,ErdoğanMehmetBurak,ZaharescuAlexandru,KutzarovaDenkaN,BaloghJózsef,KutzarovaDenkaN,RaptiZoi,ZaharescuAlexandru,BaloghJózsef
47,HurVeraMikyoung,DiFrancescoPhilippe,DeVilleRELee,ZaharescuAlexandru,RaptiZoi,KutzarovaDenkaN,AhlgrenScottD,TysonJeremyT
48,DiFrancescoPhilippe,KedemRinat,BocaFlorin-Petre,KostochkaAlexandrV,IvanovSergeiVladimirovich,ZaharescuAlexandru,KedemRinat,BocaFlorin-Petre
49,KedemRinat,JungeMarius,FordKevinB,RasmussenJacob,ZaharescuAlexandru,FordKevinB,BocaFlorin-Petre,ErdoğanMehmetBurak
50,OikhbergTimur,OikhbergTimur,BaloghJózsef,JandaFelix,FordKevinB,BocaFlorin-Petre,DiFrancescoPhilippe,BaryshnikovYuliyM
51,KutzarovaDenkaN,KutzarovaDenkaN,Berwick-EvansDaniel,DunfieldNathanM,BocaFlorin-Petre,BronskiJaredC,KutzarovaDenkaN,LaugesenRichardSnyder
52,JungeMarius,RaptiZoi,KostochkaAlexandrV,PascaleffJamesThomas,MineyevIgor,BaloghJózsef,BaloghJózsef,DeVilleRELee
53,ZaharescuAlexandru,BronskiJaredC,HinkkanenAimo,BaryshnikovYuliyM,BaloghJózsef,KostochkaAlexandrV,SongRenming,OikhbergTimur
54,RaptiZoi,TzirakisNikolaos,DunfieldNathanM,StojanoskaVesna,KostochkaAlexandrV,DeVilleRELee,BaryshnikovYuliyM,BronskiJaredC
55,BronskiJaredC,DeVilleRELee,AlbinPierre,HungPei-Ken,KatzSheldonH,LermanEugeneM,KostochkaAlexandrV,WuXuan
56,FordKevinB,BocaFlorin-Petre,LaugesenRichardSnyder,TysonJeremyT,BronskiJaredC,YongAlexanderTF,FordKevinB,KirkpatrickKayLene
57,BocaFlorin-Petre,FordKevinB,BradlowStevenBenjamin,IvanovSergeiVladimirovich,SongRenming,TzirakisNikolaos,HurVeraMikyoung,ZharnitskyVadim
58,KostochkaAlexandrV,BaloghJózsef,HungPei-Ken,MineyevIgor,DoddChristopher,SongRenming,FengRunhuan,SongRenming
59,BaloghJózsef,KostochkaAlexandrV,LermanEugeneM,FadinaTolulope,DeVilleRELee,LaugesenRichardSnyder,DeVilleRELee,JungeMarius
60,DeVilleRELee,AlbinPierre,IvanovSergeiVladimirovich,DuursmaIwanMaynard,FadinaTolulope,BaryshnikovYuliyM,GuzmanRosemaryK,RaptiZoi
61,LaugesenRichardSnyder,BaryshnikovYuliyM,FadinaTolulope,YongAlexanderTF,HaboushWilliamJ,DunfieldNathanM,DeyParthaSarathi,GuzmanRosemaryK
62,FengRunhuan,FadinaTolulope,BaryshnikovYuliyM,KatzSheldonH,LaNaveGabriele,AlbinPierre,CooneyDanielB,SowersRichardB
63,WuXuan,DunfieldNathanM,WeiWei,WeiWei,LaugesenRichardSnyder,TysonJeremyT,HungPei-Ken,CooneyDanielB
64,JingXiaochen,MineyevIgor,TysonJeremyT,DoddChristopher,WeiWei,WeiWei,DuttaSankarPrasad,HungPei-Ken
65,YoungAmanda,WeiWei,MineyevIgor,HaboushWilliamJ,GuzmanRosemaryK,NikolaevIgorG,NikolaevIgorG,DuttaSankarPrasad
66,SowersRichardB,IvanovSergeiVladimirovich,GuzmanRosemaryK,GuzmanRosemaryK,NikolaevIgorG,DuttaSankarPrasad,SowersRichardB,NikolaevIgorG
67,FadinaTolulope,HungPei-Ken,HaboushWilliamJ,NikolaevIgorG,DuttaSankarPrasad,CooneyDanielB,WuXuan,FadinaTolulope
68,WeiWei,GuzmanRosemaryK,NikolaevIgorG,DuttaSankarPrasad,CooneyDanielB,HungPei-Ken,FadinaTolulope,YoungAmanda
